narrationId,narrationClass,marginTopVh,marginBottomVh,minHeightVh,h2Text,paragraphText,hRef,hRefText,trigger,graphTitle,graphCaption
0,step-0,40,40,100,"Geografía del Dato","El análisis comienza ubicando a los encuestados. Como es habitual en el sector tecnológico, existe una fuerte concentración en Estados Unidos, seguido de Reino Unido y Canadá. Esto marca un sesgo cultural occidental en los resultados.","","",{"image":"01-Top_10_paises_con_mas_encuestados.png"},"Participación por País","Top 10 países con más respuestas"
1,step-0,40,40,100,"La Brecha de Género","El sector Tech sigue siendo un entorno predominantemente masculino. Sin embargo, la participación de mujeres y personas de género no binario es suficiente para analizar diferencias significativas en salud mental más adelante.","","",{"image":"02-Genero_porcentaje_encuestados.png"},"Distribución de Género","Hombres vs Mujeres vs Otros"
2,step-0,40,40,100,"Una Industria Joven","La curva de edad muestra una fuerza laboral concentrada entre los 25 y 40 años. Estamos ante una generación productiva joven, sometida a altos ritmos de innovación y estrés.","","",{"image":"03-Distribucion_dispersion_edad_anual.png"},"Edad de los Trabajadores","Distribución y dispersión anual"
3,step-0,40,40,100,"Ecosistema Empresarial","Desde Startups de garaje hasta Gigantes Tecnológicos. La muestra recoge datos de empresas de todos los tamaños, permitiéndonos ver cómo los recursos varían según la escala de la compañía.","","",{"image":"04-Tamano_empresas_por_ano.png"},"Tamaño de la Empresa","Evolución del tamaño de empresas"
4,step-0,40,40,100,"Freelance vs Empleado","Aunque la mayoría trabaja por cuenta ajena, el autoempleo tiene un peso específico. La inestabilidad del freelance añade una capa de ansiedad distinta a la del empleado corporativo.","","",{"image":"05-Autoempleo_porcentaje.png"},"Modalidad Laboral","Porcentaje de Autoempleo"
5,step-0,40,40,100,"El Factor Hereditario","Uno de los hallazgos más contundentes: una gran parte de los encuestados reporta antecedentes familiares de trastornos mentales. La correlación entre historia familiar y diagnóstico actual es un punto clave del análisis.","","",{"image":"06-Anteccedentes_familiares_porcentaje.png"},"Historia Familiar","Prevalencia de antecedentes"
6,step-0,40,40,100,"ADN Tecnológico","Confirmamos el foco del estudio: la inmensa mayoría de los participantes trabaja en empresas cuya actividad principal es la tecnología, lo que valida las conclusiones para este sector específico.","","",{"image":"07-Trabaja_tech_porcentaje.png"},"Sector Tech","¿Es una empresa tecnológica?"
7,step-0,40,40,100,"El Entorno Laboral (I)","Entramos en la cultura corporativa. ¿Se sienten protegidos los empleados? Este gráfico analiza la percepción de seguridad y recursos básicos en el entorno de trabajo actual.","","",{"image":"08-Entorno_laboral.png"},"Seguridad Psicológica","Percepción del entorno"
8,step-0,40,40,100,"El Entorno Laboral (II)","Un tripie fundamental de la cultura corporativa: 1) ¿Qué importancia le da el empleador a la salud mental? 2) ¿Ofrecen recursos tangibles de ayuda? y 3) ¿Se sienten cómodos los empleados hablando con sus supervisores?","","",{"image":"09-Entorno_laboral_2.png"},"Cultura de Apoyo","Importancia, Recursos y Comunicación"
9,step-0,40,40,100,"El Entorno Laboral (III)","Aquí profundizamos en la experiencia individual: comparamos el historial de diagnósticos previos, la tasa de búsqueda activa de tratamiento y si el empleado se siente seguro identificándose abiertamente en su entorno laboral.","","",{"image":"10-Entorno_laboral_3.png"},"Estado Individual","Diagnóstico, Tratamiento y Apertura"
10,step-0,40,40,100,"El Entorno Laboral (IV)","Proyección profesional: Analizamos si el empleado mencionaría su salud mental en una entrevista, si percibe que hacerlo dañaría su carrera y su valoración global (1-5) del apoyo en la industria Tech.","","",{"image":"11-Entorno_laboral_4.png"},"Carrera y Futuro","Entrevistas, Impacto y Valoración Sectorial"
11,step-0,40,40,100,"Evolución 2016-2020 (I)","Analizamos la tendencia temporal. ¿Ha aumentado la prevalencia de trastornos con los años? Los datos sugieren que el problema se mantiene o crece, no disminuye.","","",{"image":"12-Evolucion.png"},"Tendencia Temporal","Evolución de diagnósticos"
12,step-0,40,40,100,"Evolución 2016-2020 (II)","¿Estamos mejorando en el tratamiento? Este gráfico muestra cómo ha variado la búsqueda de ayuda profesional a lo largo de los cinco años del estudio.","","",{"image":"13-Evolucion_2.png"},"Búsqueda de Ayuda","Evolución del tratamiento"
13,step-0,40,40,100,"Evolución 2016-2020 (III)","La comodidad al hablar. Observamos si con el paso del tiempo y las campañas de concienciación, los empleados se sienten más seguros hablando de esto en sus empresas.","","",{"image":"14-Evolucion_3.png"},"Apertura Social","Evolución de la discusión"
14,step-0,40,40,100,"Evolución 2016-2020 (IV)","Salir de la sombra. Este gráfico muestra la tendencia más importante: la evolución de empleados que se sienten capaces de estar abiertamente identificados con un problema de salud mental en su trabajo.","","",{"image":"15-Evolucion_4.png"},"Visibilidad Laboral","Evolución de la identificación abierta"
15,step-0,40,40,100,"La Brecha de Género","Al profundizar, las diferencias son claras. Las mujeres y minorías de género suelen reportar tasas más altas de trastornos o enfrentan barreras distintas al buscar apoyo en comparación con sus colegas hombres.","","",{"image":"16-Brecha_genero.png"},"Análisis por Género","Diferencias en diagnóstico/trato"
16,step-0,40,40,100,"Tech vs. No Tech","¿Es la tecnología un sector tóxico? Comparativa directa entre empresas puramente tecnológicas y otros sectores. Los datos revelan si la presión del código impacta más que otras industrias.","","",{"image":"17-Salud_Mental_mundo_Tech.png"},"Comparativa Sectorial","Tech vs Otros Sectores"
17,step-0,40,40,100,"Recursos por Tamaño","El tamaño importa. Las grandes corporaciones tienen presupuestos para programas de bienestar, mientras que las Startups y PYMEs a menudo carecen de infraestructura de apoyo formal.","","",{"image":"18-Recursos_segun_tamano_empresa.png"},"Recursos vs Tamaño","Disponibilidad según empleados"
18,step-0,40,40,100,"Brecha Generacional","Dime tu edad y te diré cuánto hablas. Las generaciones más jóvenes (Gen Z, Millennials) muestran una mayor predisposición a tratar la salud mental abiertamente que sus colegas mayores.","","",{"image":"19-Brecha_generacional.png"},"Generaciones","Apertura por edad"
19,step-0,40,40,100,"Recursos por Sector","Volviendo a la comparativa: ¿Invierten más las tecnológicas en recursos que las empresas tradicionales? Este gráfico desglosa la inversión en bienestar mental por tipo de industria.","","",{"image":"20-Comparativa_recursos_por_sector.png"},"Inversión Sectorial","Recursos Tech vs No-Tech"
20,step-0,40,40,100,"Cultura y Geografía","El estigma tiene pasaporte. Cerrando el análisis, vemos cómo la disposición a hablar de salud mental en una entrevista varía drásticamente según si estás en EE.UU., Europa o el resto del mundo.","","",{"image":"21-Cultura_segun_geografia.png"},"Mapa Cultural","Estigma por región"
